,task_name,agent_name,demo_type,task_params,demo_index,is_success,final_distance,min_distance,max_eplen,gripper_image_paths
0,Vision_Random,"agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-rnn_opts:{'config': 'attn', 'attn_opts': {'is_deep_fuse': True}, 'use_proprio': False}",control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",0,False,0.6715189679473986,0.4952909638016229,108,"['outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54']"
1,Vision_Random,"agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-rnn_opts:{'config': 'attn', 'attn_opts': {'is_deep_fuse': True}, 'use_proprio': False}",control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",1,False,0.49221791024553324,0.4429098874527769,108,"['outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54']"
2,Vision_Random,"agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-rnn_opts:{'config': 'attn', 'attn_opts': {'is_deep_fuse': True}, 'use_proprio': False}",control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",2,False,0.4323265008212057,0.14289566682110869,108,"['outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54']"
3,Vision_Random,"agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-rnn_opts:{'config': 'attn', 'attn_opts': {'is_deep_fuse': True}, 'use_proprio': False}",control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",3,False,0.5192903884128994,0.3487105370285231,108,"['outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54']"
4,Vision_Random,"agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-rnn_opts:{'config': 'attn', 'attn_opts': {'is_deep_fuse': True}, 'use_proprio': False}",control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",4,False,0.5154179134333777,0.2528992902336156,108,"['outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54']"
5,Vision_Random,"agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-rnn_opts:{'config': 'attn', 'attn_opts': {'is_deep_fuse': True}, 'use_proprio': False}",control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",5,False,0.6405939942834558,0.6405939942834558,108,"['outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54']"
6,Vision_Random,"agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-rnn_opts:{'config': 'attn', 'attn_opts': {'is_deep_fuse': True}, 'use_proprio': False}",control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",6,False,0.5454513860400226,0.2819076894868508,108,"['outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54']"
7,Vision_Random,"agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-rnn_opts:{'config': 'attn', 'attn_opts': {'is_deep_fuse': True}, 'use_proprio': False}",control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",7,False,0.6005223872273768,0.351340262674887,108,"['outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54']"
8,Vision_Random,"agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-rnn_opts:{'config': 'attn', 'attn_opts': {'is_deep_fuse': True}, 'use_proprio': False}",control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",8,False,0.464007475339664,0.32780288081955505,108,"['outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-54', 'outputs/run-grasp-with-agent/_May28_08-55', 'outputs/run-grasp-with-agent/_May28_08-55', 'outputs/run-grasp-with-agent/_May28_08-55', 'outputs/run-grasp-with-agent/_May28_08-55', 'outputs/run-grasp-with-agent/_May28_08-55', 'outputs/run-grasp-with-agent/_May28_08-55', 'outputs/run-grasp-with-agent/_May28_08-55', 'outputs/run-grasp-with-agent/_May28_08-55', 'outputs/run-grasp-with-agent/_May28_08-55', 'outputs/run-grasp-with-agent/_May28_08-55', 'outputs/run-grasp-with-agent/_May28_08-55', 'outputs/run-grasp-with-agent/_May28_08-55', 'outputs/run-grasp-with-agent/_May28_08-55', 'outputs/run-grasp-with-agent/_May28_08-55', 'outputs/run-grasp-with-agent/_May28_08-55', 'outputs/run-grasp-with-agent/_May28_08-55', 'outputs/run-grasp-with-agent/_May28_08-55', 'outputs/run-grasp-with-agent/_May28_08-55', 'outputs/run-grasp-with-agent/_May28_08-55', 'outputs/run-grasp-with-agent/_May28_08-55']"
9,Vision_Random,"agent-policy:rnn_grasp_policy-cams:wrist+wrist_depth-policy:rnn_grasp_policy-rnn_opts:{'config': 'attn', 'attn_opts': {'is_deep_fuse': True}, 'use_proprio': False}",control,"{'scale': 1.0, 'wrist_cam_distance': 0.6}",9,False,0.4026561132617675,0.24627072651118867,108,[]
