,Unnamed: 0,seed,config,agent,error,task_name,cam_type,epochs,control_done_count,test_done_count,avg_control_final_distance,avg_control_min_distance,avg_test_min_distance,avg_test_final_distance
100,1,3790,FuseConfig.W_D_L_R_ATTN,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,100,0.0,0.0,1.0566658168179204,0.5518069817127588,0.56233188430069,1.0209666606856485
101,2,3790,FuseConfig.W_D_L_R_ATTN,fusing_rnn_policy,False,Vision_Random,l_shoulder+r_shoulder,100,0.0,0.0,0.4968711250915915,0.4323381641139883,0.4377398648731516,0.5112016134912988
102,3,3790,FuseConfig.W_D_L_R_ATTN,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder,100,0.0,0.0,0.4441056075323124,0.4342690887330708,0.426364222069625,0.4395353697712843
103,4,3790,FuseConfig.W_D_L_R_ATTN,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,100,0.0,0.0,0.9151432992729902,0.5566234719157778,0.5620228503336246,0.9397191367454448
104,6,3790,FuseConfig.W_D_L_R_ATTN,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,200,0.0,0.0,0.6993664930448711,0.5435528397628916,0.5296725150725745,0.6619417288269221
105,7,3790,FuseConfig.W_D_L_R_ATTN,fusing_rnn_policy,False,Vision_Random,l_shoulder+r_shoulder,200,0.0,0.0,0.6924424661509218,0.5368036521461481,0.5218140206173473,0.6444748448428176
106,8,3790,FuseConfig.W_D_L_R_ATTN,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder,200,0.0,0.0,0.388397562739592,0.3849861032613984,0.3936766393301203,0.3946459816951574
107,9,3790,FuseConfig.W_D_L_R_ATTN,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,200,0.0,0.0,0.6419142955603606,0.5352666346220054,0.51765211547259,0.6447856041119031
108,11,3790,FuseConfig.W_D_L_R_ATTN,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,400,0.0,0.0,0.8266285698363935,0.5567154749846532,0.5625121304337659,0.7769236868813237
109,12,3790,FuseConfig.W_D_L_R_ATTN,fusing_rnn_policy,False,Vision_Random,l_shoulder+r_shoulder,400,0.0,0.0,0.8442907429298641,0.5598724619046822,0.5716346742400625,0.8389529643528381
110,13,3790,FuseConfig.W_D_L_R_ATTN,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder,400,0.0,0.0,0.8561296019459619,0.5613345378943979,0.5746600674645779,0.8413644761638436
111,14,3790,FuseConfig.W_D_L_R_ATTN,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,400,0.0,0.0,0.8698412875606893,0.5573887139002675,0.5704467456238069,0.8298644051098225
112,16,3790,FuseConfig.W_D_L_R_ATTN,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,600,0.0,0.0,0.8489758362746453,0.5589102590746965,0.5666724968257407,0.8514952587199807
113,17,3790,FuseConfig.W_D_L_R_ATTN,fusing_rnn_policy,False,Vision_Random,l_shoulder+r_shoulder,600,0.0,0.0,0.7913745093631291,0.5395546887753377,0.5545314989395662,0.7674190540035432
114,18,3790,FuseConfig.W_D_L_R_ATTN,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder,600,0.0,0.0,0.8491926880607696,0.5576771058355877,0.5715053533473677,0.8390178264615763
115,19,3790,FuseConfig.W_D_L_R_ATTN,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,600,0.0,0.0,0.8885676988029164,0.5521328590546608,0.5608014304747113,0.8657121890403561
116,21,3790,FuseConfig.W_D_L_R_ATTN,fusing_rnn_policy,False,Vision_Random,wrist+wrist_depth,800,0.0,0.0,0.776634202757563,0.5488294573653059,0.5129058519713224,0.7316319748223642
117,22,3790,FuseConfig.W_D_L_R_ATTN,fusing_rnn_policy,False,Vision_Random,l_shoulder+r_shoulder,800,0.0,0.0,0.8187274195148874,0.5576383002281661,0.5694013094881537,0.8382505884018447
118,23,3790,FuseConfig.W_D_L_R_ATTN,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder,800,0.0,0.0,0.8256962986071684,0.538452557791325,0.5468709147098829,0.8675455250403488
119,24,3790,FuseConfig.W_D_L_R_ATTN,fusing_rnn_policy,False,Vision_Random,wrist+l_shoulder+r_shoulder+wrist_depth,800,0.0,0.0,0.8493511699449782,0.5617029618847952,0.56730532088424,0.851975311028838
